YEAR,MO,DY,HR,T2M,PRECTOTCORR,QV2M,WS10M,ALLSKY_SRF_ALB
2016,1,1,0,18.88,0,3.48,3.46,-999
2016,1,1,1,18.09,0,3.42,3.39,-999
2016,1,1,2,17.33,0,3.36,3.3,-999
2016,1,1,3,16.62,0,3.36,3.22,-999
2016,1,1,4,15.95,0,3.42,3.17,-999
2016,1,1,5,15.3,0,3.6,3.14,-999
2016,1,1,6,14.65,0,3.78,3.14,-999
2016,1,1,7,16.5,0,4.03,3.7,0.2
2016,1,1,8,19.65,0,4.15,3.5,0.15
2016,1,1,9,23.9,0,4.15,2.29,0.15
2016,1,1,10,28.8,0,3.91,2.36,0.15
2016,1,1,11,32.3,0,3.6,3.29,0.15
2016,1,1,12,33.72,0,3.54,3.63,0.14
2016,1,1,13,34.34,0,3.54,4.19,0.14
2016,1,1,14,34.3,0,3.42,4.71,0.14
2016,1,1,15,33.55,0,3.36,5.01,0.14
2016,1,1,16,31.33,0,3.36,3.81,0.19
2016,1,1,17,25.51,0,3.42,3.35,0.18
2016,1,1,18,23.56,0,3.42,3.59,-999
2016,1,1,19,22.46,0,3.42,3.61,-999
2016,1,1,20,21.42,0,3.42,3.59,-999
2016,1,1,21,20.48,0,3.36,3.54,-999
2016,1,1,22,19.53,0,3.36,3.46,-999
2016,1,1,23,18.59,0,3.3,3.37,-999
2016,1,2,0,17.7,0,3.3,3.27,-999
2016,1,2,1,16.88,0,3.3,3.21,-999
2016,1,2,2,16.12,0,3.36,3.21,-999
2016,1,2,3,15.48,0,3.48,3.22,-999
2016,1,2,4,14.85,0,3.6,3.24,-999
2016,1,2,5,14.23,0,3.78,3.25,-999
2016,1,2,6,13.69,0,3.97,3.32,-999
2016,1,2,7,15.12,0,4.15,4.52,0.21
2016,1,2,8,17.95,0,4.27,3.85,0.12
2016,1,2,9,22.35,0,4.21,3.03,0.11
2016,1,2,10,26.55,0,4.03,2.55,0.12
2016,1,2,11,30.29,0,3.42,2.14,0.12
2016,1,2,12,32.1,0,3.05,2.09,0.12
2016,1,2,13,32.87,0,3.05,2.06,0.12
